epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1532.04,0.61129,0.41927,1.07691,0.9945,0.99654,0.99463,0.88902,0.49489,0.30645,0.95386,0.00105088,0.00105088,0.00105088
114,1544.52,0.61964,0.42831,1.09272,0.99518,0.9964,0.99446,0.90771,0.45296,0.28732,0.92938,0.00104538,0.00104538,0.00104538
115,1557.94,0.59673,0.4058,1.09063,0.9949,0.99649,0.99312,0.87816,0.50182,0.30046,0.94888,0.00103987,0.00103987,0.00103987
116,1570.25,0.63445,0.42445,1.11544,0.99496,0.99481,0.99312,0.90418,0.45458,0.29059,0.92641,0.00103437,0.00103437,0.00103437
117,1583.17,0.59359,0.39695,1.09361,0.99315,0.99654,0.99064,0.91208,0.42913,0.27992,0.91491,0.00102887,0.00102887,0.00102887
118,1595.69,0.62845,0.40345,1.10152,0.99491,0.99639,0.99215,0.91227,0.43467,0.27147,0.91627,0.00102337,0.00102337,0.00102337
119,1609.01,0.625,0.4042,1.09095,0.99473,0.99622,0.99296,0.90564,0.44721,0.28587,0.92516,0.00101787,0.00101787,0.00101787
120,1621.98,0.61925,0.40296,1.08134,0.99473,0.99578,0.99487,0.91383,0.43261,0.2889,0.9191,0.00101237,0.00101237,0.00101237
121,1635.04,0.58984,0.38832,1.07117,0.99418,0.99625,0.99417,0.90227,0.45849,0.27649,0.9247,0.00100687,0.00100687,0.00100687
122,1648.11,0.61025,0.39344,1.0901,0.99517,0.99654,0.99263,0.90215,0.45283,0.27906,0.92357,0.00100137,0.00100137,0.00100137
123,1661.36,0.60738,0.39047,1.07526,0.99515,0.99654,0.99128,0.90766,0.43863,0.28019,0.91539,0.000995866,0.000995866,0.000995866
124,1674.56,0.60575,0.39738,1.07707,0.99474,0.99605,0.99281,0.91094,0.45221,0.2939,0.92092,0.000990365,0.000990365,0.000990365
125,1688.12,0.60223,0.39241,1.0628,0.99488,0.99649,0.99288,0.91177,0.42439,0.27005,0.91184,0.000984864,0.000984864,0.000984864
126,1700.8,0.6343,0.41533,1.11775,0.99486,0.99654,0.99334,0.9022,0.44584,0.28486,0.91665,0.000979362,0.000979362,0.000979362
127,1713.2,0.61171,0.3956,1.09978,0.9938,0.9963,0.99392,0.90876,0.43589,0.27764,0.9174,0.000973861,0.000973861,0.000973861
128,1726.08,0.59338,0.38103,1.08637,0.99479,0.9959,0.99364,0.91012,0.4238,0.26492,0.91227,0.00096836,0.00096836,0.00096836
129,1738.61,0.58792,0.37646,1.07013,0.9953,0.99654,0.99232,0.90803,0.43285,0.26833,0.91898,0.000962859,0.000962859,0.000962859
130,1751.9,0.60864,0.38975,1.08427,0.9953,0.99633,0.99178,0.91731,0.40808,0.25593,0.90122,0.000957358,0.000957358,0.000957358
131,1764.89,0.59464,0.38315,1.05966,0.99467,0.99654,0.99083,0.88939,0.49071,0.27337,0.9406,0.000951857,0.000951857,0.000951857
132,1778.11,0.61654,0.39977,1.07859,0.99432,0.99654,0.99313,0.91323,0.42684,0.27581,0.90829,0.000946356,0.000946356,0.000946356
133,1790.44,0.60211,0.38638,1.07391,0.99507,0.99654,0.9915,0.9048,0.44006,0.26562,0.9229,0.000940855,0.000940855,0.000940855
